IDSBR,Nama Usaha,Alamat,Kode Wilayah,Status Perusahaan,len,kode_kecamatan,nama_kecamatan
97469911,PENJUALAN PAKAIAN ADAT,JL TIDUNG 10 STP 7 NO.59,7371031003,Aktif,10,7371031,Rappocini
97506106,TOKO RACHMA,JL TAMALATE 4 NO 11,7371031004,Aktif,10,7371031,Rappocini
97469956,BSU SAPPOE,JL RAPPOCINI RAYA LR 4 NO,7371031009,Aktif,10,7371031,Rappocini
97448774,TOKO 88 (M TAHANG),TIDUNG 7 NO 88,7371031003,Aktif,10,7371031,Rappocini
97458956,WARUNG MAKAN MAS KIKI (ZAENAL),JL. SKARDA N 1,7371031006,Aktif,10,7371031,Rappocini
97462460,TOKO (TOKI),JL TIDUNG 10 NO 12,7371031003,Aktif,10,7371031,Rappocini
97463447,BUTIK (BASRI),JL TIDUNG 9 NO 142,7371031003,Aktif,10,7371031,Rappocini
97459066,PRAKTEK DOKTER GIGI (ERNAWATI),JALAN AP PETTARANI RUKO NEW ZAMRUD,7371031008,Aktif,10,7371031,Rappocini
97462521,TOKO CAMPURAN (KADERIA),JL TIDUNG 10 NO 2,7371031003,Aktif,10,7371031,Rappocini
97459117,BUS 47 (IRFAN),JL. SKARDA N 1,7371031006,Aktif,10,7371031,Rappocini
97459241,TOKO OLEH-OLEH CELEBES (AGUS),JL MON EMMY SAELAN 3,7371031006,Aktif,10,7371031,Rappocini
97463740,TOKO (ANTON),JL TIDUNG 8 STP 11 NO 215,7371031003,Aktif,10,7371031,Rappocini
97463741,PRAKTEK DOKTER UMUM  (DR GINA),JL HERTASNING RAYA,7371031008,Aktif,10,7371031,Rappocini
97459355,LOKET PEMBAYARAN LISTRIK,TIDUNG 7 STPK 3 NO.101,7371031003,Aktif,10,7371031,Rappocini
97459356,ES MOLY (RAHMI),JL.RAPPOCINI RAYA NO DEPAN ALFAMART,7371031008,Aktif,10,7371031,Rappocini
97459169,WARKOP CANGKIR,JL LANDAK BARU NO12,7371031007,Aktif,10,7371031,Rappocini
97459466,ISTANA VARIASI,SULTAN ALAUDDIN,7371031001,Aktif,10,7371031,Rappocini
97463854,WARKOP PA`DE,JLN SULTAN ALAUDDIN NO 191,7371031001,Aktif,10,7371031,Rappocini
97463855,KANTIN LAPAS KELAS I,JLN SULTAN ALAUDDIN NO 191 LAPAS KLS 1,7371031001,Aktif,10,7371031,Rappocini
97459519,RENTAL PS GADE (ERNAWATI),JL MONEMMY SAELAN NO 723 B,7371031006,Aktif,10,7371031,Rappocini
97496408,SALON IRA KHANZA,JALAN NIKEL 1 NO 17,7371031010,Aktif,10,7371031,Rappocini
97462901,GANESHA OPERATION,"JL. SULTAN ALAUDDIN, GUNUNG SARI, RAPPOCINI",7371031001,Aktif,10,7371031,Rappocini
97496426,DEPOT AIR MINUM (ABD SALAM),JL TALASALAPANG KOMP P&K BLOK E1 NO 1,7371031001,Aktif,10,7371031,Rappocini
97500431,PRIMA LAUNDRI,JALAN BAKTI 3 LR.2 NO.60,7371031010,Aktif,10,7371031,Rappocini
97496502,DEPOT AIR (WALAUDDIN),RAPPOCINI KEL.GUNUNG SARI,7371031001,Aktif,10,7371031,Rappocini
97502499,ASIA PRIMA,JL AROEPALA NO 67,7371031001,Aktif,10,7371031,Rappocini
97502502,AGEN LOUNDRY (DLOUNDRE),KOMP BUMI PESONA PELANGI BLOK UNGU NO 1,7371031001,Aktif,10,7371031,Rappocini
97500465,TOKO KUE DAN ROTI (ADI JAYA),JALAN TAMALATE 1 NO 23,7371031003,Aktif,10,7371031,Rappocini
97500468,APOTIK GLOBAL,HERTASNING,7371031004,Aktif,10,7371031,Rappocini
97502472,GUDANG TENDA,TIDUNG MARIOLO,7371031006,Aktif,10,7371031,Rappocini
97502514,PRAKTEK DOKTER GIGI,TAMALATE 1 NO 41,7371031004,Aktif,10,7371031,Rappocini
97502591,KOPERASI (SATYA DANA),BTN MINASA UPA BLOK L4 NO 10A,7371031001,Aktif,10,7371031,Rappocini
97500531,DISTRO M ONE,HERTASNING RAYA NO. 78,7371031006,Aktif,10,7371031,Rappocini
97502568,USAHA ANGKOT <SAHIR>,BTN MINASA UPA BLOK L17 NO 8,7371031001,Aktif,10,7371031,Rappocini
97502555,PEMINJAMAN UANG TUNAI <RESKI>,BTN MINASA UPA BLOK N 17 NO 6,7371031001,Aktif,10,7371031,Rappocini
97500488,SD INPRES MINASA UPA 1,BTN MINASA UPA BLOK 06,7371031001,Aktif,10,7371031,Rappocini
97502609,YELA JAYA <A RAHMAN>,BANTA BANTAENG,7371031007,Aktif,10,7371031,Rappocini
97502634,CAFE DAN RESTO RICE,JL AP PETTARANI,7371031007,Aktif,10,7371031,Rappocini
97500539,TOKO UTAMA BANGUNAN (EDI),JALAN SYECH YUSUF,7371031001,Aktif,10,7371031,Rappocini
97500557,KICHENETTO,KOMP KODAM KATANGKA BLOK 02,7371031001,Aktif,10,7371031,Rappocini
97502644,KIOS BERAS (MATTUPUANG),JL SYEKH YUSUF,7371031001,Aktif,10,7371031,Rappocini
97500548,SALON RIAS PENGANTIN (ERNI),KOMP KODAM KATANGKA BLOK G 17,7371031001,Aktif,10,7371031,Rappocini
97502626,LAWARA TOUR DAN RENTAL AKBAR,BTN MINASA UPA BLOK AB NO 11,7371031001,Aktif,10,7371031,Rappocini
97500622,JUAL TIKET ONLINE (NURFITRI),BTN MINASA UPA BLOK B7 NO 5,7371031001,Aktif,10,7371031,Rappocini
97500578,USAHA KRIPIK (ABDI),TAMALATE 4 SETAPAK 7 NO 16,7371031004,Aktif,10,7371031,Rappocini
97502643,BUTIK (NURHAYATI),JL SYEKH YUSUF,7371031001,Aktif,10,7371031,Rappocini
97500592,KANTIN AMANAH,BALAI SIDANG UNISMUH,7371031001,Aktif,10,7371031,Rappocini
97502642,PHINIS HOME STAY,JL RSI FAISAL RAYA 11 BLOK C20,7371031007,Aktif,10,7371031,Rappocini
97500593,RUMAH KOST (STEVIE),JL TALASALAPANG RAYA NO 26,7371031001,Aktif,10,7371031,Rappocini
97500594,CATERING ATTAUFIK PRATAMA,TALLASALAPANG RAYA,7371031001,Aktif,10,7371031,Rappocini
97500655,RUMAH KOST (AMINAH),JL BUMI 21,7371031001,Aktif,10,7371031,Rappocini
97500623,JUAL SAPI (HASANUDDIN),BTN MINASA UPA BLOK B10 NO 10,7371031001,Aktif,10,7371031,Rappocini
97502691,JAHIT PAKAIAN WANITA,BUMI BOSOWA INDAH BLOK L/16,7371031001,Aktif,10,7371031,Rappocini
97500671,LESEHAN BU COMO,JL SULTAN ALAUDDIN,7371031001,Aktif,10,7371031,Rappocini
97500672,FC BAMBA (JABIR SIGARA),JL TALASALAPANG RAYA NO,7371031001,Aktif,10,7371031,Rappocini
97502688,JUAL TABUNG GAS (DARWIS),KOMP BOSOWA INDAH BLOK J/11,7371031001,Aktif,10,7371031,Rappocini
97502689,HOME STAY,KOMP GRIYA FAJAR MAS BLOK L NO 8,7371031001,Aktif,10,7371031,Rappocini
97500669,RAJA HP (ANDI),JL TALASALAPANG RAYA NO 20,7371031001,Aktif,10,7371031,Rappocini
97502740,JUAL KUE KELILING (PONIA),JALAN BORONG INDAH NO 27,7371031004,Aktif,10,7371031,Rappocini
97490388,MIE TITI,JL HERTASNING,7371031001,Aktif,10,7371031,Rappocini
97490393,WARUNG KELONTONG (RFERY),BTN MINASA UPA BLOK N 15NO 14,7371031001,Aktif,10,7371031,Rappocini
97461673,TOKO OPA OMA (JENI R),JL TIDUNG 10 STP 3 NO 16,7371031003,Aktif,10,7371031,Rappocini
97461690,DEPOT ISI ULANG GALON,JL PERUMAHAN JIPANG PERMAK BLOK DP 9 NO 5,7371031002,Aktif,10,7371031,Rappocini
97461732,TPA ULUL ULMI,KARUNRUNG,7371031002,Aktif,10,7371031,Rappocini
97457266,TOKO TAS VIZA COLLECTION,JALAN AP PETTARANI RUKO NEW ZAMRUD BLOK C/19,7371031008,Aktif,10,7371031,Rappocini
97477277,GUEST HOUSE LA`RISS (TONI Y),JL BONTOLANGKASA 1,7371031007,Aktif,10,7371031,Rappocini
97477331,I KHALIFAH,JL JIPANG RAYA,7371031002,Aktif,10,7371031,Rappocini
97477646,ATAKI,JL LANDAK BATU NO 112 H,7371031007,Aktif,10,7371031,Rappocini
97471345,TK ANNUR (FASRIANI),JL MONGISIDI BARU,7371031010,Aktif,10,7371031,Rappocini
97476018,GLOBAL AIRLINES,JL MAPPALA,7371031006,Aktif,10,7371031,Rappocini
97486189,KOS KOSAN,JL BANTA BANTAENG,7371031007,Aktif,10,7371031,Rappocini
97486152,KLINIK GIGI REZA (RASYID),BTN MINASA UPA BLOK 88 NO19,7371031001,Aktif,10,7371031,Rappocini
97486178,SALON KECANTIKAN,JL LANDAK BARU,7371031007,Aktif,10,7371031,Rappocini
97486276,PLANET BUGAR(SUCI),JL MONUNEN EMMY SAELAN NO 30 D,7371031006,Aktif,10,7371031,Rappocini
97487543,BANANA BREAD (LUMIA MALA),JL ALAUDDIN <GRIYA FAJAR MAS>,7371031001,Aktif,10,7371031,Rappocini
97487540,JUAL KARDUS,BTN MINASA UPA,7371031001,Aktif,10,7371031,Rappocini
97487573,PENJUAL GORENGAN,JL WIJAYA KUSUMA 1,7371031007,Aktif,10,7371031,Rappocini
97474302,APOTEK MATARAM FARMA,JL JIPANG,7371031002,Aktif,10,7371031,Rappocini
97474347,PERSEWAAN KAMAR (AMIRUDDIN),BTN MINASA UPA BLOK A,7371031002,Aktif,10,7371031,Rappocini
97490290,JAYA BANGUNAN UD,JL AROEPALA NO 58,7371031001,Aktif,10,7371031,Rappocini
97490301,LAUDRY VIANTI,JL BANTA BANTAENG,7371031007,Aktif,10,7371031,Rappocini
97490291,CAHAYA JATI FURNITURE,JL AROEPALA 57,7371031001,Aktif,10,7371031,Rappocini
97490289,RUMAH MAKAN FEBRY,JL AROEPALA,7371031001,Aktif,10,7371031,Rappocini
97490311,USAHA PENYEWAAN KAMAR (ROSTIA),JALAN KARUNRUNG RAYA 1 LR 1 NO 9,7371031002,Aktif,10,7371031,Rappocini
97490312,TOKO 99,JL TODDOPULI 1 STP 3 NO 99,7371031004,Aktif,10,7371031,Rappocini
97490373,JUAL PULSA <ZULFIKAR>,BUMI BOSOWA PERMAI BLOK A1 NO 18,7371031001,Aktif,10,7371031,Rappocini
97490383,TPA DARUS SALAM BOSOWA,MASJID DARUSSALAM PERUM BOSOWA BLOK A0,7371031001,Aktif,10,7371031,Rappocini
97469607,BERDNAYA CAKE,KOMP IKIP BLOK G III NO 7,7371031006,Aktif,10,7371031,Rappocini
97469685,SEKOLAH SD INPRES BANTA BANTAENG,JL MONGINSIDI BARU NO 75 A,7371031010,Aktif,10,7371031,Rappocini
97469744,TRAVEL ARUN,JL AROEPALA NO 41,7371031004,Aktif,10,7371031,Rappocini
97485796,FOTOCOPY 301 (MUH ZAKKIR),JL MAPALA 2 BLOK D/6 NO 14,7371031006,Aktif,10,7371031,Rappocini
