input_id,title_maps,address_maps,IDSBR_best,nama_bps_best,alamat_bps_best,score_jw,label
6c09c225-5ff5-4cb9-9995-90ecdeb64a18,toko bulqis,"Jl. Rappocini Raya Lorong 5, Rappocini, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",97505583,toko mulia,jl rappocini raya no 84,0.91,unmatch
6c09c225-5ff5-4cb9-9995-90ecdeb64a18,mixue rappocini,"Jl. Rappocini Raya No.162, Bua Kana, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",97458678,sdn rappocini,jl cilallan jaya no 30,0.81,unmatch
6c09c225-5ff5-4cb9-9995-90ecdeb64a18,toko cahya,"Mappala, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221",97506106,toko rachma,jl tamalate 4 no 11,0.92,unmatch
6c09c225-5ff5-4cb9-9995-90ecdeb64a18,❀❀our store✿✿,"RCMJ+8PC ❀❀Our store✿✿, Banta-Bantaeng, Rappocini, Makassar City, South Sulawesi",4496111,tri star,"btn minasa upa blok b 4 no 17 rt 001 rw 003, karunrung",0.67,unmatch
6c09c225-5ff5-4cb9-9995-90ecdeb64a18,toko ladysstore,"Jl. Rappocini Raya No.59, Rappocini, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221",97490238,toko askar,jl tamalate 5 setapak 8 no 21,0.87,unmatch
6c09c225-5ff5-4cb9-9995-90ecdeb64a18,toko aneka jaya,"RCWG+JV9 Toko Aneka Jaya, Jalan Rappocini, Kel Rappocini, Kec Rapoicini, Rappocini, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90255",97487790,toko kelana jaya,mappala 26 29,0.96,unmatch
acba7139-1d9b-4473-b3cc-87b6397530c4,ghaisan mart,"Jl. Skarda N.1 No.6, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221",97493413,ghaisan mart,komp manggasa permai ruko no 6,1.0,match
e0f78390-63ef-49d4-a8c3-86674418e260,bursa laptop second makassar,"Jl. Talasalapang II Komp. L No.3, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221",3532554,teras sunnah makassar,talasalapang 2,0.77,unmatch
acba7139-1d9b-4473-b3cc-87b6397530c4,rumah roti makassar cab.talasalapang,"ruko buisnes park center, Jl. Talasalapang, Karunrung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221",3355627,rumah sakit islam faisal,jl andi pangerang pettarani,0.83,unmatch
acba7139-1d9b-4473-b3cc-87b6397530c4,aiisyah,"Jalan Tallasalapang Raya, Ruko BPH No.14, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",97449439,tk aisiyah,jl rappocini raya lr 2 no 16,0.85,unmatch
acba7139-1d9b-4473-b3cc-87b6397530c4,kantor permata sari,"Jl. Ruko Komp. Permatasari No.9, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221",97489207,kantor pegadaian,jalan borong indah a2 no 2,0.88,unmatch
acba7139-1d9b-4473-b3cc-87b6397530c4,warkop bundu talasalapang,"Jalan Talasalapang BPH Plasa Ruko N1 No. 1, Karunrung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221",97446022,warkop bundu,komp bph plaza no 1,0.9,match
acba7139-1d9b-4473-b3cc-87b6397530c4,kantor vvrc,"Jl. Mappala, Jl. Tengah Komp. Pemda Ruko No.14 D, RT.005/RW.10, Tidung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",6425173,"kantor, cv",sungai saddang baru blok 11/10,0.92,unmatch
6c09c225-5ff5-4cb9-9995-90ecdeb64a18,toko rezky,"Jl. Tidung IX Jl. Setapak 11 No.253, Mappala, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",97499163,toko bur,jl rappocini raya no 4,0.87,unmatch
6c09c225-5ff5-4cb9-9995-90ecdeb64a18,toko fajar,"Jl. Bonto Daeng Ngirate No.3, Bonto Makkio, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222",97490238,toko askar,jl tamalate 5 setapak 8 no 21,0.92,unmatch
6c09c225-5ff5-4cb9-9995-90ecdeb64a18,mandiri phone,"Bua Kana, Rappocini, Makassar City, South Sulawesi 90222",97472942,mandiri in health,hertasning raya no 7,0.88,unmatch
