IDSBR,Nama Usaha,Alamat,Kode Wilayah,kode_kecamatan,alamat
3509221,kedai website indonesia,"jl. tidung 10 no.9, mappala",7371031003,7371031,"jl. tidung 10 no.9, mappala"
3509229,permata adira nusantara,jl skarda' n1,7371031001,7371031,jl skarda' n1
3509623,dns group,jl tidung ii stp 1,7371031005,7371031,jl tidung ii stp 1
3510232,sumber indo seluler,rappocini raya,7371031008,7371031,rappocini raya
3510845,benhard prima baja,jl aroepala,7371031004,7371031,jl aroepala
3510937,inpratama sarana solusi,jl pelita iv lr 5,7371031010,7371031,jl pelita iv lr 5
3511515,pokmas tidung bersatu,raya pendidikan,7371031006,7371031,raya pendidikan
3512084,wirawan karya,jl cilallang jaya,7371031008,7371031,jl cilallang jaya
3513739,mandala pratama abadi,jl. monginsidi baru,7371031010,7371031,jl. monginsidi baru
3514173,laskar masyarakat demokrasi sulawesi selatan (lamda sulsel),"jl. mappala blok a.4 no. 2, tidung",7371031006,7371031,"jl. mappala blok a.4 no. 2, tidung"
3514490,dwiguna jaya mandiri,aroepala komp php,7371031004,7371031,aroepala komp php
3515155,batavia prosperindo finance,jl pelita raya blok a.22,7371031010,7371031,jl pelita raya blok a.22
3515280,jo.pt.galih medan persada - pt.gaya bakti jaya,"jl aroepala blok d/32 hertasning baru, kassi-kassi",7371031004,7371031,"jl aroepala blok d/32 hertasning baru, kassi-kassi"
3515828,ghais ghazi putra,"jl tidung mariolo no 5b rt 002 rw 001,tidung",7371031006,7371031,"jl tidung mariolo no 5b rt 002 rw 001,tidung"
3517194,cahaya integritas kooperatif,jl. hertasning barat komp.gpi b/16,7371031005,7371031,jl. hertasning barat komp.gpi b/16
3517333,laskar aksara,"komp.puri taman sari blok d.9 no.6 makassar rt.005 rw.012, kassi-kassi",7371031004,7371031,"komp.puri taman sari blok d.9 no.6 makassar rt.005 rw.012, kassi-kassi"
3517542,fajar anugrah utama,"jl ap pettarani blok e20/10 rt.001 rw.005, tidung",7371031006,7371031,"jl ap pettarani blok e20/10 rt.001 rw.005, tidung"
3517666,andifa karya desain,jl tidung 6 stp xi,7371031003,7371031,jl tidung 6 stp xi
3518273,chamsiah,"jl.tala'salapang no.39 b rt.000 rw.000, gunung sari",7371031001,7371031,"jl.tala'salapang no.39 b rt.000 rw.000, gunung sari"
3518315,syafiq,"jl.toddoppuli iv stp.13 no.4, kassi-kassi",7371031004,7371031,"jl.toddoppuli iv stp.13 no.4, kassi-kassi"
3519708,anaya,jl talasalapang i komp rindam,7371031001,7371031,jl talasalapang i komp rindam
3520475,abege rallyers,jl talasalapang ii kompleks manggasa village,7371031001,7371031,jl talasalapang ii kompleks manggasa village
3521042,sultan jafar asyamie,jl skarda n i,7371031006,7371031,jl skarda n i
3522277,modal nusantara ventura,jl raya pendidikan,7371031006,7371031,jl raya pendidikan
3522418,karunia sejati medilab,jalan rappocini raya nomor 94 a,7371031009,7371031,jalan rappocini raya nomor 94 a
3522593,kosh mitra abadi,"jl rappocini raya blok no.99a rt 001 rw 004, buakana",7371031008,7371031,"jl rappocini raya blok no.99a rt 001 rw 004, buakana"
3523224,celebes cemerlang center,jl tidung mariolo,7371031006,7371031,jl tidung mariolo
3523911,ayuchi cemerlang abadi,btn. minasa upa,7371031001,7371031,btn. minasa upa
3528349,nur imam makassar,"komp.permata hijau permai blok.m.2 no.9 rt.005 rw.010, kassi-kassi",7371031004,7371031,"komp.permata hijau permai blok.m.2 no.9 rt.005 rw.010, kassi-kassi"
3529059,santosa,tidung 6 setapak 4,7371031003,7371031,tidung 6 setapak 4
3529560,universal panca persada,jl mahoni,7371031004,7371031,jl mahoni
3530855,yayasan taman belajar ashabul kahfi,talasapang perumahan puri bukit mas,7371031002,7371031,talasapang perumahan puri bukit mas
3530879,megah putra rialindo,"komp btn minasa upa blk m5 no.16 rt.002 rw.009, gunung sari",7371031001,7371031,"komp btn minasa upa blk m5 no.16 rt.002 rw.009, gunung sari"
3531231,satria carawali sejahtera,jl nikel 3,7371031010,7371031,jl nikel 3
3531493,mulia trans marga,jl monginsidi baru puri mutiara i,7371031009,7371031,jl monginsidi baru puri mutiara i
3532554,teras sunnah makassar,talasalapang 2,7371031001,7371031,talasalapang 2
3533343,uman galeri,"jl monumen emmy saelan 3 no 10c rt 002 rw 005, karunrung",7371031002,7371031,"jl monumen emmy saelan 3 no 10c rt 002 rw 005, karunrung"
3535259,utama jaya,"jl tidung vi stp 11 no 62 rt 003 rw 005, mappala",7371031003,7371031,"jl tidung vi stp 11 no 62 rt 003 rw 005, mappala"
3535763,honesta,"komp.btn karunrungasri blok a/3 rt.002 rw.004, karunrung",7371031002,7371031,"komp.btn karunrungasri blok a/3 rt.002 rw.004, karunrung"
3535950,mitra diera multi bisnis,"anging mammiri residence blok f3/4, jl aroepala",7371031002,7371031,"anging mammiri residence blok f3/4, jl aroepala"
3537068,kartika widya prasthya,rsi faisal ii prm griya modern no. 7,7371031007,7371031,rsi faisal ii prm griya modern no. 7
3537396,pendidikan teratai universitas negeri makassar,"kampus unm gunung sari baru, banta-bantaeng",7371031007,7371031,"kampus unm gunung sari baru, banta-bantaeng"
3537981,kosh medindo,"rappocini raya no.99a , rappocini",7371031009,7371031,"rappocini raya no.99a , rappocini"
3538372,serba usaha perak,"btn mangasa permai blok g 11, gunung sari",7371031001,7371031,"btn mangasa permai blok g 11, gunung sari"
3540175,perkumpulan forum padaidi silaturrahim,btn minasa upa blok,7371031002,7371031,btn minasa upa blok
3540964,cv. mahadewi perkasa,pelita iv,7371031008,7371031,pelita iv
3540973,lumanna jaya,"btn minasa upa blok e4/21 rt 004 rw 006, gunung sari",7371031001,7371031,"btn minasa upa blok e4/21 rt 004 rw 006, gunung sari"
3542115,cherubim jaya perkasa,jl hertasning baru komp phl,7371031004,7371031,jl hertasning baru komp phl
3543254,cipta selaras,"jl hertasning vi no 27 rt.003 rw.006, tidung",7371031006,7371031,"jl hertasning vi no 27 rt.003 rw.006, tidung"
3543768,haruka,jl hertasning baru,7371031004,7371031,jl hertasning baru
3544040,maruga teknikindo development,"komp.puri taman sari blok c7 no.7, kassi-kassi",7371031004,7371031,"komp.puri taman sari blok c7 no.7, kassi-kassi"
3544214,putra syamsu,jl aroepala komp pdgi,7371031001,7371031,jl aroepala komp pdgi
3544842,sefactor pharma,jl. rappocini raya no.10,7371031009,7371031,jl. rappocini raya no.10
3544977,ryantama,"perumahan kompleks btn minasa sari blok b/11, gunung sari",7371031001,7371031,"perumahan kompleks btn minasa sari blok b/11, gunung sari"
3546682,karunia indah abadi,pelita raya vi,7371031008,7371031,pelita raya vi
3546969,pangeran mentari timur,jl landak baru perum metropolitan,7371031007,7371031,jl landak baru perum metropolitan
3548484,pegadaian (persero),jl talasalapang,7371031001,7371031,jl talasalapang
3548692,aru teko,jl rsi faisal 17,7371031007,7371031,jl rsi faisal 17
3548863,berkat rejeki bersama,jl. a.p pettarani ruko zamrud blok c,7371031008,7371031,jl. a.p pettarani ruko zamrud blok c
3550850,4wd reload multi payment indonesia,jalan monumen emisaelan,7371031006,7371031,jalan monumen emisaelan
3551767,fadanty sidar digdayaji,jl karaeng bonto tangnga,7371031002,7371031,jl karaeng bonto tangnga
3556142,anugrah cahaya terang,jl poros minasa upa blok,7371031,7371031,jl poros minasa upa blok
3556222,mega karya perdana,"jl.mongisidi baru ab.6/3 rt.005 rw.005, balla parang",7371031010,7371031,"jl.mongisidi baru ab.6/3 rt.005 rw.005, balla parang"
3556249,hosana jaya perkasa,"jl sungai saddang baru blok a10/4 rt.002 rw.008, balla parang",7371031010,7371031,"jl sungai saddang baru blok a10/4 rt.002 rw.008, balla parang"
3556289,anreca harni abadi,"jl rappocini raya lr 5b no 1 rt.002 rw.004, rappocini",7371031009,7371031,"jl rappocini raya lr 5b no 1 rt.002 rw.004, rappocini"
3556484,repen makassar,jl tidung mariolo,7371031006,7371031,jl tidung mariolo
3556707,artha pesona indonesia,jl aroepala komp harmoni,7371031003,7371031,jl aroepala komp harmoni
3556755,akila utama,"btn minasa upa blok h2/10 rt.001 rw.024, gunung sari",7371031001,7371031,"btn minasa upa blok h2/10 rt.001 rw.024, gunung sari"
3557338,putera rezki utama,jl. hertasning kompleks griya panakkukang indah,7371031005,7371031,jl. hertasning kompleks griya panakkukang indah
3559103,aflaha coconut mandiri,jl palm raja,7371031004,7371031,jl palm raja
3559498,permata,permata hijau permai blok m,7371031004,7371031,permata hijau permai blok m
3560125,pp-brp kso,jl letjen hertasning,7371031004,7371031,jl letjen hertasning
3560134,injector astramaya,"jalan sultan alauddin perumahan bumi permata hjau, jalan bumi 14",7371031001,7371031,"jalan sultan alauddin perumahan bumi permata hjau, jalan bumi 14"
3560315,cahaya srikandi,jl btn minasa upa,7371031001,7371031,jl btn minasa upa
3563737,asosiasi pendeta indonesia cabang makassar,jl tidung 3 stp 4,7371031005,7371031,jl tidung 3 stp 4
3565291,darul iman makassar,jl cilallang jaya vii,7371031008,7371031,jl cilallang jaya vii
3566168,usaha jaya,jl rappocini raya,7371031008,7371031,jl rappocini raya
3567612,hm jufri,"jl landak baru no 112 b rt 004 rw 003, banta-bantaeng",7371031007,7371031,"jl landak baru no 112 b rt 004 rw 003, banta-bantaeng"
3569350,diana sejahtera,"jl.btn minasa upa blok m.10/24, gunung sari",7371031001,7371031,"jl.btn minasa upa blok m.10/24, gunung sari"
3569698,pixel detail indonesia,jl. tamalate ii tidung 7 stp.1,7371031003,7371031,jl. tamalate ii tidung 7 stp.1
3569918,izzul putra mandiri,jl beringin v,7371031004,7371031,jl beringin v
3570121,ranelsa ven indonesia,jl wijaya kusuma iii,7371031007,7371031,jl wijaya kusuma iii
3570247,palagimata medika alta,jl  bonto mene i,7371031007,7371031,jl  bonto mene i
3570269,rezki berkah mandiri,"jl kr bontotangnga ii no 15 rt 000 rw 000, karunrung",7371031002,7371031,"jl kr bontotangnga ii no 15 rt 000 rw 000, karunrung"
3571019,zahrah mandiri,jl b dg ngirate i,7371031005,7371031,jl b dg ngirate i
3571118,kopi kopi,jl toddopuli raya,7371031005,7371031,jl toddopuli raya
3572133,ishop indonesia,jl. aroepala komp. minasa upa,7371031001,7371031,jl. aroepala komp. minasa upa
3573729,makassar pangan mandiri,jl tidung x timur komp perum stella maris,7371031002,7371031,jl tidung x timur komp perum stella maris
3574678,baktimitra investama,jl ap pettarani no 55,7371031008,7371031,jl ap pettarani no 55
3574828,sumber medikalindo,jl.sultan alauddin 3,7371031001,7371031,jl.sultan alauddin 3
3575989,jaya sakti,jl tamalate iii stp 43,7371031003,7371031,jl tamalate iii stp 43
3576705,emas delia insani,jl karunrung raya,7371031002,7371031,jl karunrung raya
3576859,rei bangun properti,jalan timah raya nomor 2,7371031010,7371031,jalan timah raya nomor 2
3576881,sultan,kompleks btn minasa upa,7371031001,7371031,kompleks btn minasa upa
3578461,ifa medika,jl wijaya kusuma i,7371031007,7371031,jl wijaya kusuma i
3578980,nidaaul amin,jl btn minasa upa,7371031001,7371031,jl btn minasa upa
3579263,berkah propertindo,jl tidung ix stp 15,7371031003,7371031,jl tidung ix stp 15
3579317,minasasari,komp perum residence cendana blok,7371031009,7371031,komp perum residence cendana blok
3579389,mata grup nusantara,komp skarda n lorong i,7371031001,7371031,komp skarda n lorong i
3579651,indtim duabelas corporindo,jl btn minasa upa,7371031,7371031,jl btn minasa upa
3579989,cahaya odex,"jl talasalapang no 11c rt.001 rw.014, gunung sari",7371031001,7371031,"jl talasalapang no 11c rt.001 rw.014, gunung sari"
3580651,forum tukang gigi indonesia,jl b.dg irate stp 2,7371031005,7371031,jl b.dg irate stp 2
3581580,kapital global indonesia,jl monumen emmy saelan,7371031001,7371031,jl monumen emmy saelan
3582639,prima karya teknik bersama,jl tidung 7,7371031003,7371031,jl tidung 7
